银行卡号(KH),行别,简写,长度
622493,AEON信贷财务,AEON,6
622974,AEON信贷财务,AEON,6
620011,BC卡公司,BC卡公,6
620027,BC卡公司,BC卡公,6
620031,BC卡公司,BC卡公,6
620039,BC卡公司,BC卡公,6
620103,BC卡公司,BC卡公,6
620106,BC卡公司,BC卡公,6
620120,BC卡公司,BC卡公,6
620123,BC卡公司,BC卡公,6
620125,BC卡公司,BC卡公,6
620132,BC卡公司,BC卡公,6
620220,BC卡公司,BC卡公,6
620278,BC卡公司,BC卡公,6
620812,BC卡公司,BC卡公,6
621003,BC卡公司,BC卡公,6
621006,BC卡公司,BC卡公,6
621011,BC卡公司,BC卡公,6
621012,BC卡公司,BC卡公,6
621020,BC卡公司,BC卡公,6
621025,BC卡公司,BC卡公,6
621027,BC卡公司,BC卡公,6
621031,BC卡公司,BC卡公,6
621032,BC卡公司,BC卡公,6
621039,BC卡公司,BC卡公,6
621078,BC卡公司,BC卡公,6
625003,BC卡公司,BC卡公,6
625006,BC卡公司,BC卡公,6
625011,BC卡公司,BC卡公,6
625012,BC卡公司,BC卡公,6
625020,BC卡公司,BC卡公,6
625023,BC卡公司,BC卡公,6
625025,BC卡公司,BC卡公,6
625027,BC卡公司,BC卡公,6
625031,BC卡公司,BC卡公,6
625032,BC卡公司,BC卡公,6
625039,BC卡公司,BC卡公,6
625078,BC卡公司,BC卡公,6
625079,BC卡公司,BC卡公,6
625103,BC卡公司,BC卡公,6
625106,BC卡公司,BC卡公,6
625111,BC卡公司,BC卡公,6
625112,BC卡公司,BC卡公,6
625120,BC卡公司,BC卡公,6
625123,BC卡公司,BC卡公,6
625125,BC卡公司,BC卡公,6
625127,BC卡公司,BC卡公,6
625131,BC卡公司,BC卡公,6
625132,BC卡公司,BC卡公,6
625139,BC卡公司,BC卡公,6
625178,BC卡公司,BC卡公,6
625179,BC卡公司,BC卡公,6
625220,BC卡公司,BC卡公,6
625320,BC卡公司,BC卡公,6
601100,D.F.S.I,D.F.,6
601101,D.F.S.I,D.F.,6
601121,D.F.S.I,D.F.,6
601122,D.F.S.I,D.F.,6
601123,D.F.S.I,D.F.,6
601124,D.F.S.I,D.F.,6
601125,D.F.S.I,D.F.,6
601126,D.F.S.I,D.F.,6
601127,D.F.S.I,D.F.,6
601128,D.F.S.I,D.F.,6
601131,D.F.S.I,D.F.,6
601136,D.F.S.I,D.F.,6
601137,D.F.S.I,D.F.,6
601138,D.F.S.I,D.F.,6
601140,D.F.S.I,D.F.,6
601142,D.F.S.I,D.F.,6
601143,D.F.S.I,D.F.,6
601144,D.F.S.I,D.F.,6
601145,D.F.S.I,D.F.,6
601146,D.F.S.I,D.F.,6
601147,D.F.S.I,D.F.,6
601148,D.F.S.I,D.F.,6
601149,D.F.S.I,D.F.,6
601174,D.F.S.I,D.F.,6
601177,D.F.S.I,D.F.,6
601178,D.F.S.I,D.F.,6
601179,D.F.S.I,D.F.,6
601186,D.F.S.I,D.F.,6
601187,D.F.S.I,D.F.,6
601188,D.F.S.I,D.F.,6
601189,D.F.S.I,D.F.,6
622145,Philippine National Bank,Phil,6
622495,Travelex,Trav,6
622496,Travelex,Trav,6
621353,安徽当涂新华村镇银行,安徽当涂,6
621526,安徽省农村信用社,安徽省农,6
621778,安徽省农村信用社,安徽省农,6
622953,安徽省农村信用社,安徽省农,6
623220,安徽省农村信用社,安徽省农,6
623637,安徽省农村信用社,安徽省农,6
628387,安徽省农村信用社,安徽省农,6
621526,安徽省农村信用社联合社,安徽省农,6
621778,安徽省农村信用社联合社,安徽省农,6
622953,安徽省农村信用社联合社,安徽省农,6
623220,安徽省农村信用社联合社,安徽省农,6
623637,安徽省农村信用社联合社,安徽省农,6
628387,安徽省农村信用社联合社,安徽省农,6
622413,鞍山银行,鞍山银行,6
623188,鞍山银行,鞍山银行,6
940002,鞍山银行,鞍山银行,6
622434,澳门国际银行,澳门国际,6
622435,澳门国际银行,澳门国际,6
622436,澳门国际银行,澳门国际,6
622775,澳门永亨银行,澳门永亨,6
622785,澳门永亨银行,澳门永亨,6
622861,澳门永亨银行,澳门永亨,6
622862,澳门永亨银行,澳门永亨,6
622932,澳门永亨银行,澳门永亨,6
624300,澳门永亨银行,澳门永亨,6
624302,澳门永亨银行,澳门永亨,6
624308,澳门永亨银行,澳门永亨,6
624309,澳门永亨银行,澳门永亨,6
621760,包商银行,包商银行,6
622165,包商银行,包商银行,6
622315,包商银行,包商银行,6
622336,包商银行,包商银行,6
623210,包商银行,包商银行,6
623273,包商银行,包商银行,6
623592,包商银行,包商银行,6
625359,包商银行,包商银行,6
625950,包商银行,包商银行,6
628295,包商银行,包商银行,6
621091,保定银行,保定银行,6
623168,保定银行,保定银行,6
620088,北京农村商业银行,北京农村,6
621066,北京农村商业银行,北京农村,6
621067,北京农村商业银行,北京农村,6
621068,北京农村商业银行,北京农村,6
621560,北京农村商业银行,北京农村,6
622138,北京农村商业银行,北京农村,6
625186,北京农村商业银行,北京农村,6
625526,北京农村商业银行,北京农村,6
628336,北京农村商业银行,北京农村,6
620088,北京农商银行,北京农商,6
621066,北京农商银行,北京农商,6
621067,北京农商银行,北京农商,6
621068,北京农商银行,北京农商,6
621560,北京农商银行,北京农商,6
622138,北京农商银行,北京农商,6
625186,北京农商银行,北京农商,6
625526,北京农商银行,北京农商,6
628336,北京农商银行,北京农商,6
421317,北京银行,北京银行,6
422160,北京银行,北京银行,6
422161,北京银行,北京银行,6
522001,北京银行,北京银行,6
602968,北京银行,北京银行,6
602969,北京银行,北京银行,6
621030,北京银行,北京银行,6
621420,北京银行,北京银行,6
621468,北京银行,北京银行,6
622163,北京银行,北京银行,6
622851,北京银行,北京银行,6
622852,北京银行,北京银行,6
622853,北京银行,北京银行,6
623111,北京银行,北京银行,6
625816,北京银行,北京银行,6
628203,北京银行,北京银行,6
621696,本溪市商业银行,本溪市商,6
623577,本溪市商业银行,本溪市商,6
621268,渤海银行,渤海银行,6
621453,渤海银行,渤海银行,6
622684,渤海银行,渤海银行,6
622884,渤海银行,渤海银行,6
625122,渤海银行,渤海银行,6
621266,沧州银行,沧州银行,6
621422,沧州银行,沧州银行,6
628395,沧州银行,沧州银行,6
603694,常熟农村商业银行,常熟农村,6
622323,常熟农村商业银行,常熟农村,6
622462,常熟农村商业银行,常熟农村,6
623071,常熟农村商业银行,常熟农村,6
625101,常熟农村商业银行,常熟农村,6
625165,常熟农村商业银行,常熟农村,6
628272,常熟农村商业银行,常熟农村,6
940030,常熟农村商业银行,常熟农村,6
621074,朝阳银行,朝阳银行,6
621515,朝阳银行,朝阳银行,6
623030,朝阳银行,朝阳银行,6
622345,成都农村商业银行,成都农村,6
623088,成都农村商业银行,成都农村,6
622808,成都农村商业银行（信用卡）,成都农村,6
628308,成都农村商业银行（信用卡）,成都农村,6
621516,成都农商银行,成都农商,6
622345,成都农商银行,成都农商,6
622808,成都农商银行,成都农商,6
623088,成都农商银行,成都农商,6
625516,成都农商银行,成都农商,6
628308,成都农商银行,成都农商,6
621482,成都银行,成都银行,6
621532,成都银行,成都银行,6
622135,成都银行,成都银行,6
622152,成都银行,成都银行,6
622153,成都银行,成都银行,6
622154,成都银行,成都银行,6
622813,成都银行,成都银行,6
622818,成都银行,成都银行,6
622996,成都银行,成都银行,6
622997,成都银行,成都银行,6
628228,成都银行,成都银行,6
940027,成都银行,成都银行,6
622818,成都银行（信用卡）,成都银行,6
622936,承德银行,承德银行,6
623060,承德银行,承德银行,6
628229,承德银行,承德银行,6
